comp,job,location,range,req_location,salary
Raytheon,Scientist I,"Albuquerque, NM 87106 (University Hts area)",C,NM,
Los Alamos National Laboratory,R&D Mechanical Engineer (R&D Engineer 2),"Los Alamos, NM",C,NM,111650.0
Leidos,Research Scientist,"Albuquerque, NM 87102 (Barelas area)",D,NM,
National Radio Astronomy Observatory,Assistant Scientist (Re-advertised),"Socorro, NM 87801",D,NM,
TriCore Reference Laboratories,Special Projects Statistician,"Albuquerque, NM",D,NM,
National Radio Astronomy Observatory,Software Engineer (open rank),"Socorro, NM 87801",D,NM,
Lockheed Martin,Intelligence Analyst,"White Sands Missile Range, NM",D,NM,
EXL,Business Systems Analyst - Provider,"Albuquerque, NM",D,NM,
Harris Corporation,Research Analyst II,"Las Cruces, NM 88005",D,NM,
HDR,Water/ Wastewater EIT,"Albuquerque, NM 87110 (Uptown area)",D,NM,
Sandia National Laboratories,"R&D, Computer Science (Experienced)","Albuquerque, NM",D,NM,
Los Alamos National Laboratory,Computer Scientist 1/2,"Los Alamos, NM",D,NM,
EXL,Business Systems Analyst – Health Plan,"Albuquerque, NM",D,NM,
Los Alamos National Laboratory,Radio-Frequency Remote Sensing Scientist 2/3,"Los Alamos, NM",D,NM,111650.0
"Applied Research Associates, Inc",Senior Project Manager,"Albuquerque, NM 87110 (Uptown area)",D,NM,
Los Alamos National Laboratory,Theoretical Design Scientist (Scientist 1),"Los Alamos, NM",D,NM,101200.0
Los Alamos National Laboratory,"Computing Systems Professional 1, 2, 3 or 4","Los Alamos, NM",D,NM,
Sandia National Laboratories,Student Intern - Center for Computing Research (CCR) R&D Grad Summer,"Albuquerque, NM",D,NM,
WSP | Parsons Brinckerhoff,Software Engineer/Developer,"Albuquerque, NM",D,NM,
Harris Corporation,Operations Mgmt Spvr,"Las Cruces, NM 88005",D,NM,
Los Alamos National Laboratory,Scalable Runtime Systems and Distributed Services (Scientist 2/3),"Los Alamos, NM",D,NM,
Los Alamos National Laboratory,Geomechanics Scientist (Scientist 3/4),"Los Alamos, NM",D,NM,
Los Alamos National Laboratory,Information Security & Networking Science (Scientist 3/4),"Los Alamos, NM",D,NM,
Harris Corporation,GEOINT Product Quality Engineer,"Las Cruces, NM 88005",D,NM,
LinQuest,JNWC Operations Research Analyst - Sr,"Albuquerque, NM",D,NM,
Sandia National Laboratories,R&D Computer Scientist-Analytics/Predictive Modeling (Early/Mid Career),"Albuquerque, NM",D,NM,
The MathWorks,Senior Application Engineer - DOE Focus,"Albuquerque, NM",D,NM,
Ball Aerospace,Network Administrator I (659802),"Albuquerque, NM",D,NM,
Presbyterian Healthcare Services,SCIENTIST,"Albuquerque, NM",D,NM,
Vencore,Senior Image Scientist,"Las Cruces, NM",D,NM,
Los Alamos National Laboratory,R&D Engineer 3,"Los Alamos, NM",D,NM,123600.0
Sandia National Laboratories,Neutron and Particle Diagnostics Postdoctoral Appointee,"Albuquerque, NM",D,NM,
EXL,"Senior Business Analyst, Decision Analytics Services (Healthcare)","Albuquerque, NM",D,NM,
Los Alamos National Laboratory,Electrical Engineer (R&D Engineer 1),"Los Alamos, NM",D,NM,101200.0
Los Alamos National Laboratory,Group Leader (R&D Manager 4),"Los Alamos, NM",D,NM,166150.0
Sandia National Laboratories,Software Engineer Java/C++ (Early/Mid-Career),"Albuquerque, NM",D,NM,
Harris Corporation,DIS/USS/EXC Section Lead,"Las Cruces, NM 88005",D,NM,
HDR,Transportation Drainage Engineer,"Albuquerque, NM 87110 (Uptown area)",D,NM,
Sandia National Laboratories,R&D Computer Scientist-Analytics/Predictive Modeling (Experienced),"Albuquerque, NM",D,NM,
Ball Aerospace,Program Security Officer II (659799),"Albuquerque, NM",D,NM,
"Applied Research Associates, Inc",Senior Operations Research Analyst,"Albuquerque, NM 87110 (Uptown area)",D,NM,
Sandia National Laboratories,R&D Computer Scientist-Satellite/Aerospace/Nuclear Weapons (Experienced),"Albuquerque, NM",D,NM,
Harris Corporation,"Software Engineer 3, Tracking, Telemetry and Control Group","Las Cruces, NM 88005",D,NM,
GAN Corp,Senior Operations Research Systems Analyst Study Leader,"White Sands, NM",D,NM,
Sandia National Laboratories,Software Engineer Java/C++ (Experienced),"Albuquerque, NM",D,NM,
Los Alamos National Laboratory,"Scientific Software Development, Testing & Applications Research Technologist (Research Technologist 1)","Los Alamos, NM",D,NM,91400.0
Los Alamos National Laboratory,"Post Baccalaureate -Scientific Software Development, Testing and Applications","Los Alamos, NM",D,NM,
Los Alamos National Laboratory,Electrical Design Engineer for Space-Based Detection Systems (R&D Engineer 3),"Los Alamos, NM",D,NM,123600.0
Central New Mexico Community College,Senior Research Analyst,"Albuquerque, NM",E,NM,59779.5
"P3I, Inc",Operations Research Analyst,"Albuquerque, NM",E,NM,
Craig Technologies,Research Analyst III,New Mexico,E,NM,
National Geospatial-Intelligence Agency,R & D Scientist,"Las Cruces, NM",E,NM,84513.0
New Mexico State Personnel Office,Reclamation Soils Scientist,"Santa Fe, NM",E,NM,54360.5
Ball Aerospace,Machinist I (659832),"Albuquerque, NM",E,NM,
Los Alamos National Laboratory,Computing Systems Tec (Computing Systems Tec 4/5),"Los Alamos, NM",E,NM,
Sandia National Laboratories,Student Intern - R&D Institute Graduate Co-Op,"Albuquerque, NM",E,NM,
Sandia National Laboratories,Student Intern - Radiation Effects Theory R&D Grad Summer,"Albuquerque, NM",E,NM,
LinQuest,JNWC Operations Research Analyst - Mid,"Albuquerque, NM",E,NM,
Los Alamos National Laboratory,Magnet Lab Tec (Research Tec 3),"Los Alamos, NM",E,NM,61300.0
BOEING,Intelligence and Image Analyst,"Las Cruces, NM",E,NM,
Ball Aerospace,Modeling & Simulation Analyst (658636),"Albuquerque, NM",E,NM,
Ball Aerospace,Electro-Optics Modeling & Simulation Analyst (658637),"Albuquerque, NM",E,NM,
Ball Aerospace,Operations Research Analyst I (659123),"Albuquerque, NM",E,NM,
AECOM,Waste Characterization Senior Scientist,"Carlsbad, NM",E,NM,
Klein Hersh International,"Principal Scientist, Biostatistics","Albuquerque, NM",E,NM,
Los Alamos National Laboratory,Spallation Physics and Target Neutronics Postdoc,"Los Alamos, NM",E,NM,
Ball Aerospace,Senior Engineer - Systems Test (659074),"Albuquerque, NM",E,NM,
Ball Aerospace,Laser Research Engineer II (659646),"Albuquerque, NM",E,NM,
Lovelace Respiratory Research Institute,Program Data Manager,"Albuquerque, NM 87108 (South San Pedro area)",E,NM,
Sandia National Laboratories,Computer Scientist - Large-Scale Data Analysis & Visualization (Experienced),"Albuquerque, NM",E,NM,
Ball Aerospace,Laser Test Engineer I (659888),"Albuquerque, NM",E,NM,
Ball Aerospace,Operations Service Desk Specialist II (659642),"Albuquerque, NM",E,NM,
Sandia National Laboratories,X-Ray Imaging and Spectroscopy Postdoctoral Appointee,"Albuquerque, NM",E,NM,
Ball Aerospace,Technical Specialist II - Mechanical (659831),"Albuquerque, NM",E,NM,
Sandia National Laboratories,Student Intern - Science & Technology Technical Support Grad Summer,"Albuquerque, NM",E,NM,
Sandia National Laboratories,Student Intern - Science & Technology Technical Support Undergrad Summer,"Albuquerque, NM",E,NM,
"Tri Alpha Energy, Inc.",Senior Development Engineer,"Los Alamos, NM",E,NM,
State of New Mexico,Reclamation Soils Scientist (EMNRD #5395),New Mexico,E,NM,
CACI,Operations Research Systems Analyst,"Albuquerque, NM 87102 (Barelas area)",F,NM,
Los Alamos National Laboratory,Computer Scientist 3/4 (Scientist 3/4),"Los Alamos, NM",F,NM,
Lovelace Respiratory Research Institute,Postdoctoral Fellow - Mayer,"Albuquerque, NM 87108 (South San Pedro area)",F,NM,
New Mexico State University,Telescope Ops Specialist,New Mexico,F,NM,
Sandia National Laboratories,Student Intern - R&D Institute Undergrad Co-Op,"Albuquerque, NM",F,NM,
Bernalillo County Government,Health Protection Scientist I,"Albuquerque, NM",F,NM,48287.5
Ball Aerospace,Technician II - Mechanical (659833),"Albuquerque, NM",F,NM,
SAIC,Java Developer Job,"Albuquerque, NM",F,NM,
Ball Aerospace,Engineer II - Systems Test (659034),"Albuquerque, NM",F,NM,
Sandia National Laboratories,Student Intern - R&D Institute Graduate Summer,"Albuquerque, NM",F,NM,
Sandia National Laboratories,Student Intern - R&D Institute Intern Undergrad Summer,"Albuquerque, NM",F,NM,
Booz Allen Hamilton,"Image Scientist, Senior","Las Cruces, NM",F,NM,
Los Alamos National Laboratory,Statistical Design and Analysis for Explosion Monitoring Appications Postdoc,"Los Alamos, NM",F,NM,
"UNM Medical Group, Inc.",Ambulatory Patient Services Coordinator,"Albuquerque, NM 87106 (University Hts area)",F,NM,29054.96
State of New Mexico,Environmental Scientist and Specialist-Operational (NMENV# 23643),New Mexico,F,NM,
Boyd Gaming Corporation,"Manager,Gaming Data Strategies and Analysis","Las Vegas, NV",C,NV,
MGM Resorts International,VP Regional Revenue Management,"Las Vegas, NV",C,NV,
Scientific Games,Data Scientist,"Las Vegas, NV",D,NV,
repherrals software solutions,Data Scientist / Analyst,"Las Vegas, NV",D,NV,
Desert Research Institute,"Staff Research Scientist, Software Engineer","Reno, NV",D,NV,
"National Security Technologies, LLC (NSTec)",Scientist II (Geologic Modeler),"Las Vegas, NV",D,NV,
Tesla Motors,Quality Scientist,"Sparks, NV",D,NV,
Boyd Gaming Corporation,"MANAGER, DATA STRATEGIES AND ANALYSIS","Las Vegas, NV 89169",D,NV,
CHARLES RIVER ENGLISH,Senior Research Scientist (Lab Sciences),"Reno, NV",D,NV,
Ball Aerospace,LO ISR Mission Planner (659871),"Indian Springs, NV",D,NV,
CHARLES RIVER ENGLISH,Research Scientist I - Lab Sciences,"Reno, NV",E,NV,
CHARLES RIVER ENGLISH,Senior Research Scientist (Analytical & Bio-Analytical Lab Sciences),"Reno, NV",E,NV,
Diagnostic Laboratories and Radiology,Clinical Laboratory Scientist,"Las Vegas, NV",E,NV,
McCallie Associates,USAMS III - Data Analysis Subject Matter Expert,"Nellis AFB, NV",E,NV,
DIAGNOSTIC LABORATORIES,Clinical Laboratory Scientist,"Las Vegas, NV 89119",E,NV,
CHARLES RIVER ENGLISH,Research Scientist I (Toxicology),"Reno, NV",E,NV,
Desert Research Institute,"Assistant Research Scientist, GIS and Remote Sensing","Reno, NV",E,NV,
"Beckman Coulter, Inc.",Field Service Engineer,"Las Vegas, NV",E,NV,
Sierra Nevada Corporation,Engineering Technicain II,"Sparks, NV",E,NV,
University of Nevada Las Vegas,Institutional Research/Business Intelligence Analyst,"Las Vegas, NV",E,NV,
"Zappos.com, Inc.",Statistical Retail Business Analyst / Data Analyst,"Las Vegas, NV 89101 (Cultural Corridor area)",E,NV,
Sierra Nevada Corporation,Engineering Technicain Sr,"Reno, NV 89502 (East Reno area)",E,NV,
"University of Nevada, Reno",Quality Manager Laboratory,"Reno, NV",E,NV,
CHARLES RIVER ENGLISH,Research Specialist - Clinical,"Reno, NV",E,NV,
Base36,Statistical Data Analyst,"Las Vegas, NV",E,NV,
"SCHRYVER MEDICAL, LLC",Clinical Laboratory Technologist - General Supervisor,"Henderson, NV 89074 (Green Valley South area)",E,NV,
Youcallmd,Operations Research Analyst,"Las Vegas, NV 89106 (West Las Vegas area)",E,NV,
WSP | Parsons Brinckerhoff,Lead Traffic Engineer,"Las Vegas, NV",E,NV,
Leidos,Program Management Director - Nuclear Stockpile Stewardship,"Mercury, NV 89023",E,NV,
Reef Systems,Scientist II,"Las Vegas, NV",E,NV,
Huntridge Family Clinic,Statistician/Research,"Las Vegas, NV 89104 (Huntridge area)",F,NV,
Allegiant Travel Company,INTERN - CULTURE & ENGAGEMENT (DATA ANALYSIS & WEB DESIGN),"Las Vegas, NV",F,NV,
NORTH VISTA HOSPITAL,Medical Technologist - Laboratory - Per Diem - 9259,"North Las Vegas, NV 89030 (North Last Vegas area)",F,NV,
"IDS,Harvard i-Lab Partner!",Deep Learning Tensorflow,"New York, NY 10001 (Chelsea area)",A,NY,241000.0
"The Hagan-Ricci Group, Inc.",Data Scientist / Python Developer,"New York, NY",A,NY,250000.0
Harnham,Chief Data Scientist - Consulting,"New York, NY",A,NY,220000.0
Averity,Senior Systematic Quantitative Analyst - Multi-billion Dollar Hedge Fund,"New York, NY",A,NY,200000.0
Averity,Executive Director of Data Engineering,"New York, NY",A,NY,215000.0
Selby Jennings,Quantitative Research – Machine Learning,"New York, NY 10167 (Midtown area)",A,NY,200000.0
Datacom Technology Group,Quantitative Analyst (Fundamental Quant Equities) - Hedge Fund,"New York, NY 10022 (Midtown area)",A,NY,200000.0
Averity,Executive Director of Data Engineering (Media),"New York, NY",A,NY,215000.0
Selby Jennings,Research Scientist - High Frequency Trading,"New York, NY 10167 (Midtown area)",A,NY,212500.0
Selby Jennings,VP C++ Low Latency Software Developer,"New York, NY 10167 (Midtown area)",A,NY,237500.0
McKinsey & Company,New Ventures - Banking Analytics - Data Scientist - East Coast,"New York, NY 10022 (Midtown area)",B,NY,
PlaceIQ,Software Engineer/Data Scientist - Innovation,"New York, NY",B,NY,
Foursquare,Analytics,"New York, NY",B,NY,
Spotify,Senior Data Scientist (Product),"New York, NY 10011 (Chelsea area)",B,NY,
7Park Data,Senior Data Scientist,"New York, NY",B,NY,
Fareportal Inc.,Product Manager Big Data,"New York, NY 10020 (Midtown area)",B,NY,
Spotify,Analytics Consulting Lead- Marketing,"New York, NY 10011 (Chelsea area)",B,NY,
AIG,Sr Manager Data Scientist,"New York, NY",B,NY,
Spotify,Senior Data Scientist - Advertising Product and Platforms,"New York, NY 10011 (Chelsea area)",B,NY,
Yahoo! Inc.,"Research Scientist, Sr","New York, NY",B,NY,
Ipsos North America,"Connect - Vice President, Behavioral Data Group","New York, NY",B,NY,
Selby Jennings,VP of Data Science & Analytics,"New York, NY 10167 (Midtown area)",B,NY,175000.0
JPMorgan Chase,Data Architect for Big Data Systems (VP) - Intelligent Solutions,"New York, NY",B,NY,
Weight Watchers International,Director of Data Engineering,"New York, NY",B,NY,
Synergy Interactive Solutions,Javascript Engineer,"New York, NY",B,NY,150000.0
Goldman Sachs,"Compliance, Surveillance Analytics – Project Management & Delivery, Vice President","New York, NY",B,NY,
Selby Jennings,Senior/Lead Technology Positions,"New York, NY 10167 (Midtown area)",B,NY,
Goldman Sachs,Global Compliance - Surveillance Analytics Group - Big Data Engineer - Associate,"New York, NY",B,NY,
Selby Jennings,Senior Quantitative Risk Analyst,"New York, NY 10167 (Midtown area)",B,NY,200000.0
Selby Jennings,VP Sr Quantitative Finance Analyst,"New York, NY 10167 (Midtown area)",B,NY,162500.0
AIG,Director Data Scientist,"New York, NY",B,NY,
JPMorgan Chase,Big Data Product Strategy & Development Senior Manager - Intelligent Solutions,"New York, NY",B,NY,
AIG,"Algorithm Scientist – Computer Vision, Deep Learning with focus on Risk Management","New York, NY",B,NY,
JPMorgan Chase,Big Data Product Strategy & Development Director (ED) - Intelligent Solutions,"New York, NY",B,NY,
AIG,Data Scientist,"New York, NY",C,NY,
Global Intellectuals,Data Scientist,"New York, NY",C,NY,
"Nucleus Marketing Solutions, Inc.",Data Scientist,"New York, NY 10038 (Financial District area)",C,NY,
Sapient Global Markets,Data Scientist,"New York, NY",C,NY,
Celmatix,Data Scientist,"New York, NY 10005 (Financial District area)",C,NY,
Airtime,Data Scientist,"New York, NY",C,NY,
Etsy,"Data Scientist, Machine Learning & AI","Brooklyn, NY",C,NY,
Capital One,Data Scientist,"New York, NY",C,NY,
Sikorsky,Data Scientist,"New York, NY",C,NY,
Inficare,Data Scientist,"New York, NY",C,NY,
Morgan Stanley,Data Scientist - Spark ML Developer,"New York, NY 10032 (Washington Heights area)",C,NY,
The Nielsen Company,Data Scientist,"New York, NY 10003 (Greenwich Village area)",C,NY,
Gilt Groupe,Data Scientist,"New York, NY 10016 (Gramercy area)",C,NY,
Indeed Prime,Data Scientist,"New York, NY",C,NY,
Ayasdi,Data Scientist (Financial Services),"New York, NY",C,NY,
Komodo Health,Data Scientist,"New York, NY",C,NY,
Illinois Technology Association,GrubHub - Data Scientist,"New York, NY",C,NY,
Scienaptic Systems Inc,Data Scientist,"New York, NY",C,NY,100000.0
IBM Kenexa,Data Scientist,"New York, NY",C,NY,
AIG,Senior Investments Data Scientist,"New York, NY",C,NY,
"Cognical, Inc.",Data Scientist,"New York, NY 10001 (Chelsea area)",C,NY,
Verizon,Data Scientist,"New York, NY 10010 (Gramercy area)",C,NY,
Brooklyn Data Science,Head of Data Science at Dia & Co.,"New York, NY",C,NY,
The Trade Desk,Data Scientist,"New York, NY 10001 (Chelsea area)",C,NY,
Morgan Stanley,FinTech Data Scientist,"New York, NY 10032 (Washington Heights area)",C,NY,
"Source of Future Technology, Inc.",Data Scientist - Natural Language Processing + Machine Learning,"New York, NY",C,NY,
The Nielsen Company,"Director, Data Science","New York, NY 10003 (Greenwich Village area)",C,NY,
Amazon Corporate LLC,Data Scientist,"New York, NY",C,NY,
Slack,Engineering Manager - Machine Learning and Intelligence,"New York, NY",C,NY,
Comcast,Data Scientist II,"New York, NY 10112 (Midtown area)",C,NY,
Aetna,Data Scientist/Sr Informatics,"New York, NY 10010 (Gramercy area)",C,NY,
ITG,Quantitative Analyst – Smart Order Router,"New York, NY 10017 (Midtown area)",C,NY,
KPMG,Data Scientist,"New York, NY 10154 (Midtown area)",C,NY,
SRC and SRCTec,Data Scientist /Systems Engineer (Machine Learning) Job,"Syracuse, NY",C,NY,
PlaceIQ,Data Engineer,"New York, NY",C,NY,
Connections of New York,Research Scientist - Data Science,"New York, NY",C,NY,
Spotify,Research Lead / Data Scientist,"New York, NY 10011 (Chelsea area)",C,NY,
Princeton Consulting,Data Scientist,"New York, NY 10018 (Clinton area)",C,NY,192500.0
AIG,Manager Data Scientist,"New York, NY",C,NY,
OUTFRONT media,Data Scientist,"New York, NY",C,NY,
Wade & Wendy,Wade & Wendy_Data Scientist/Engineer,"New York, NY",C,NY,100000.0
automotiveMastermind Inc.,Data Scientist,"New York, NY 10038 (Financial District area)",C,NY,
SmartyAds,Data Scientist,"New York, NY",C,NY,
Analytic Recruiting,Machine Learning Data Scientist-Equity Investment Research,"New York, NY 10017 (Midtown area)",C,NY,
Praescient Analytics,Field Data Scientist,"New York, NY",C,NY,
Big Cloud,Data Scientist,"New York, NY",C,NY,150000.0
Analytic Partners,Data Scientist,"New York, NY 10017 (Midtown area)",C,NY,
TripleMint,Senior Data Scientist,"New York, NY",C,NY,
JPMorgan Chase,Data Scientist –Associate,"Brooklyn, NY",C,NY,
NewYork-Presbyterian/Midtown Offices,Data Scientist,"New York, NY",C,NY,
Splash,Data Scientist,"New York, NY 10011 (Chelsea area)",C,NY,
JPMorgan Chase,CIB-Rapid Prototyping Data Scientist – Vice President - New York,"New York, NY",C,NY,
Accenture,Accenture Analytics - Data Science Consultant,"New York, NY 10011 (Chelsea area)",C,NY,
Bloomberg,Data Scientist - Network Infrastructure,"New York, NY",C,NY,
IBM Kenexa,Digital & Performance Marketing Professional - Analytics and Data,"New York, NY",C,NY,
American Express,Senior/Research Scientist,"New York, NY",C,NY,
Brookhaven National Laboratory,machine learning research scientist,"Upton, NY 11973",C,NY,
The College Board,Data Scientist,"New York, NY",C,NY,
Excellus BlueCross BlueShield,Corp Dir Data Science,"Buffalo, NY",C,NY,
IBM,Data Engineer,"New York, NY",C,NY,
New York Life Insurance Co,Statistician/Data Scientist,"New York, NY",C,NY,
DataKind,Data Science Manager,"New York, NY",C,NY,
Hearst Television Inc.,Analytics Manager,"New York, NY",C,NY,
Deloitte,Advanced Analytics Enablement Big Data Manager,"New York, NY",C,NY,
Memorial Sloan Kettering,"Data Scientist, Imaging Informatics","New York, NY",C,NY,
Harry's,Senior Sensory Scientist,"New York, NY",C,NY,
IBM,Finance Data Analytics Consultant,"Rochester, NY",C,NY,
Averity,"Vice President, Data Scientist - Leading International Advisory Business","New York, NY",C,NY,175000.0
WeWork,Data Scientist,"New York, NY 10005 (Financial District area)",C,NY,
Google,Developer Programs Engineer (Machine Learning),"New York, NY 10011 (Chelsea area)",C,NY,
"Two Sigma Investments, LLC.","Quantitative Software Engineer, Feature Modeling Analytics","New York, NY",C,NY,
Workbridge Associates,Data Scientist for a growing cyber security company located in Midtown,"New York, NY",C,NY,125000.0
Perella Weinberg Partners,Data Scientist / Quantitative Developer,"New York, NY 10153 (Midtown area)",C,NY,
Brooklyn Data Science,"VP Advanced Analytics, Research Analyst, SQL Analyst at Ipsos","New York, NY",C,NY,
Intersection,"Software Engineer, Machine Learning","New York, NY",C,NY,
SparkBeyond,Data Scientist,"New York, NY",C,NY,
Grubhub,Data Scientist,"New York, NY",C,NY,
RSquare Edge Corp,Data Scientist,"New York, NY",C,NY,
Yahoo! Inc.,Sr. Research Scientist- Yahoo Video,"New York, NY",C,NY,
Major League Baseball Advanced Media,Senior Data Scientist,"New York, NY",C,NY,
StreetID,Quantitative Analyst,"New York, NY",C,NY,120000.0
Averity,"Data Scientist, Quant Developer for $10B Asset Manager","New York, NY",C,NY,135000.0
Harnham,Data Scientist - Financial Services,"New York, NY",C,NY,150000.0
Analytic Recruiting,Machine Learning PhD,"New York, NY 10017 (Midtown area)",C,NY,
McKinsey & Company,"VP, Health Data Management - Healthcare Analytics","New York, NY 10022 (Midtown area)",C,NY,
Illinois Technology Association,GrubHub - Data Engineer,"New York, NY",C,NY,
Newsela,Director of Data Science,"New York, NY",C,NY,
Santander Holdings USA Inc,Operational Risk Senior Quantitative Analyst,"New York, NY",C,NY,
Gilt Groupe,Machine Learning Data Scientist,"New York, NY 10016 (Gramercy area)",C,NY,
NGDATA Inc,Big Data Software Consultant,"New York, NY",C,NY,
Rocketrip,Senior Data Scientist,"Manhattan, NY",C,NY,
Federal Reserve Bank of New York,"Department Head, Applied Strategy - Data & Statistics","New York, NY",C,NY,
BuzzFeed,Director of Data Science,"New York, NY",C,NY,
GE Renewable Energy,Lead Data Scientist – Digital Renewables,"Schenectady, NY",C,NY,
Averity,Lead Data Scientist - Top Data Consultancy,"New York, NY",C,NY,140000.0
JW Player,Data Engineer,"New York, NY 10018 (Clinton area)",C,NY,
BankRate.com,Senior Data Engineer,"New York, NY",C,NY,
Natural Resources Defense Council,Clean Energy Grid Integration Science Fellow,"New York, NY 10011 (Chelsea area)",C,NY,
Paperless Post,Senior Data Scientist,"New York, NY",C,NY,
Barclays,AVP Quantitative Analyst,"New York, NY",C,NY,
Booz Allen Hamilton,Data Scientist,"New York, NY 10036 (Clinton area)",C,NY,
HiringCatalyst,Data Engineer - Streaming Video Data Analytics - Apache Storm,"New York, NY",C,NY,
Socure,Senior Data Scientist,"New York, NY",C,NY,
Spreemo,Senior Data Scientist,"New York, NY",C,NY,
Accenture,Accenture Analytics-Data Science Senior Manager,"New York, NY 10011 (Chelsea area)",C,NY,
Yahoo! Inc.,"Research Engineer, Senior","New York, NY",C,NY,
Barclays,VP Quantitative Analyst,"New York, NY",C,NY,
OnDeck,Senior Risk Data Scientist,"New York, NY",C,NY,
Uber,Data Scientist - Global Intelligence NYC,"New York, NY 10001 (Chelsea area)",C,NY,
Weight Watchers International,Data Engineer,"New York, NY",C,NY,
Aetna,Lead Data Scientist,"New York, NY 10016 (Gramercy area)",C,NY,
HBO,HBO Senior Data Engineer,"New York, NY",C,NY,
Capital One,Senior Quantitative Analyst,"New York, NY",C,NY,
Pozent Corporation,Quantitative Finance Analyst,"New York, NY",C,NY,
Elevate Recruiting Group,Data Analysis Engineer,"New York, NY",C,NY,
Eyeview,"Decision Scientist, Real-Time Bidding Strategy","New York, NY 10011 (Chelsea area)",C,NY,
Goldman Sachs,"CRMA, Credit Quantitative Analysis Macroeconomics Team, Analyst/Associate","New York, NY",C,NY,
Memorial Sloan Kettering Cancer Center,"Bioinformatics Data Scientist - Cancer Genomics, Clinical Research, NYC","New York, NY 10065 (Upper East Side area)",C,NY,
Deloitte,Advanced Analytics Enablement Big Data Senior Consultant,"New York, NY",C,NY,
Bloomberg,Machine Learning Quantitative Analyst,"New York, NY",C,NY,
"Amazon Web Services, Inc.",Research Scientist,"New York, NY",C,NY,
"Beckman Coulter, Inc.",Field Service Engineer,"New York, NY",C,NY,
Memorial Sloan Kettering,Front-End Software Engineer,"New York, NY",C,NY,
JPMorgan Chase,Big Data Product Strategy & Development Manager - Intelligent Solutions,"New York, NY",C,NY,
Engage Partners,Senior Quantitative Analyst,"New York, NY",C,NY,
All-In Analytics,Head of Machine Learning Big Data,"New York, NY",C,NY,
Markit Financial Info Service,Quantitative Analyst,"New York, NY",C,NY,
Payette Group,Data Scientist,"New York, NY",C,NY,
AIG,Computer Vision Scientist,"New York, NY",C,NY,
NYU Langone Medical Center,Master Data Management Development Lead,"New York, NY",C,NY,
Digital Reasoning,Software Engineer/Dev OPS,"New York, NY",C,NY,
Marcum Search LLC,Data Scientist/Engineer,"New York, NY",C,NY,
TW Staffing Solutions,Data Scientist,"New York, NY",C,NY,199000.0
PlaceIQ,Senior Data Engineer,"New York, NY",C,NY,
Linium,Big Data Engineer - Data Warehouse,"Brooklyn, NY 11201",C,NY,
Selby Jennings,FTR Quantitative Risk Analyst,"New York, NY 10167 (Midtown area)",C,NY,135000.0
Integral Ad Science,"Director, Data Science","New York, NY",C,NY,
Harnham,Big Data Engineer,"New York, NY",C,NY,110000.0
Cognizant,Experience Strategist,"New York, NY",C,NY,
Bloomberg,Senior Machine Learning Engineer (Consultant),"New York, NY",C,NY,
"PARC, a Xerox company",Computer Vision and Video Analytics Researchers,"Webster, NY",C,NY,
Selby Jennings,Quantitative Researcher – Big Data & Machine Learning,"New York, NY 10167 (Midtown area)",C,NY,
Swiss Re,Project Manager - Big Data & Analytics,"Armonk, NY 10504",C,NY,
Springer Nature,Application Engineer,"New York, NY",C,NY,
Pfizer Inc.,"Senior Manager, Scientific Computing, 1039646","Pearl River, NY 10965",C,NY,
Pfizer Inc.,"Senior Manager, Scientific Computing;1039646","Pearl River, NY 10965",C,NY,
Averity,Senior Data Scientist (Media),"New York, NY",C,NY,137500.0
Michael Page US,CCAR Quantitative Analyst,"New York, NY",C,NY,
Execu | Search,Data Scientist,"New York, NY",C,NY,
Accenture,Analytics Strategy & Transformation Senior Manager,"New York, NY 10011 (Chelsea area)",C,NY,
Selby Jennings,C++/Python Algo Developer/Data Scientist,"New York, NY 10167 (Midtown area)",C,NY,135000.0
TSR Consulting,Business Analyst - ETL Projects,"New York, NY 10019 (Midtown area)",C,NY,
EY,Forensic Technology & Discovery Services Manager - Data Scientist,"New York, NY",C,NY,
Weill Cornell Medical College,Cognitive Software Engineer,"New York, NY",C,NY,
Data Incorporated,Data Scientist,"New York, NY",C,NY,
Morgan Stanley,Quantitative Risk Analyst,"New York, NY 10032 (Washington Heights area)",C,NY,
Pryor Associates - Pauline Reimer,"Vice President, Insurance Analytics/Predictive Modeling",New York State,C,NY,
LearnVest,Director of Marketing Analytics,"New York, NY",C,NY,
Michael Page US,Quantitative Model Validation Analyst,"New York, NY",C,NY,
Pfizer Inc.,"Principal Research Scientist - Formulation Development, Vaccines","Pearl River, NY 10965",C,NY,
Google,"Engineering Resident, University Graduate (Fixed Term Employee)","New York, NY 10011 (Chelsea area)",C,NY,
WSP | Parsons Brinckerhoff,Senior Engineering Manager,"New York, NY",C,NY,
AreteX Systems,Research Scientist: Control Systems,"New York, NY",C,NY,
Hiya,Data Product Manager,"New York, NY",C,NY,
Morgan Stanley,Equity Research - Analyst Solutions Team,"New York, NY 10032 (Washington Heights area)",C,NY,
Morgan Stanley,Senior Credit Risk Methodology Quantitative Analyst - Vice President,"New York, NY 10032 (Washington Heights area)",C,NY,
Shutterstock,"Analytics Manager, Testing and Measurement","New York, NY",C,NY,
Google,"Technical Curriculum Developer, Google Cloud Platform","New York, NY 10011 (Chelsea area)",C,NY,
Spreemo,Director of Research Operations,"New York, NY",C,NY,
