,rating,tconst,title,year,cast1,cast2,cast3,cast4,director,genre1,genre2,plot,date,runtime,tagline,writers
3793,,tt1380991,Mondo Holocausto!,,Noah Hathaway,Richard Tyson,James Duval,Felissa Rose,Anthony Sant'Anselmo,Adventure,Horror,Serafina is a beautiful photojournalist in New York City circa 1977. She heads to the Amazon on assignment...,,,,Anthony Sant'Anselmo
3796,,tt1586577,Stormhaven: The Fall of Duke Vorkill,2009,,,,,Justin Whiteman,,,,,54,,
3798,6.5,tt1565043,Once Upon a Time in Seoul,2008,Wan Lee,Chang-ui Song,Greena Park,Ki-young Lee,Hyeong-jun Bae,Drama,War,"(Korean with English subtitles) 1953, the Korean war has ended. Most of the country is war-torn and in shambles...",2008-11-06,98,,Kenzo Kitakata
3804,,tt1756793,The Campaign,,,,,,,Action,Thriller,A Secret Service agent protecting a Presidential nominee from a stalker uncovers a dark truth that could tear the country apart.,,,,Sheila D. Boyd
3820,,tt2380077,Magkano ... ang kalayaan mo,1982,Eddie Rodriguez,Michael De Mesa,Lorna Tolentino,,Manuel 'Fyke' Cinco,Drama,,,1982-03-19,,,Bonnie Paredes
3821,,tt1811312,Disaster in the Gulf: A Race Against Time,2010,,,,,,News,,"A behind-the-scenes look at the race to plug the 2010 Deep Water Horizon oil spill, the worst maritime oil spill in U.S...",2010-06-10,42,,
3822,,tt1579916,A Dama das Camélias,1997,,,,,,Drama,,,1997,100,,Carlos Avilez
3842,7.1,tt2248634,The Winter,2013,Vangelis Mourikis,Efi Papatheodorou,Theo Albanis,Andreas Andreopoulos,Konstantinos Koutsoliotas,Drama,Fantasy,"Niko is a romantic, young Greek writer living in London. When his finances go astray, he hides out in...",2014-12-10,101,,Elizabeth E. Schuch
3851,,tt2340588,Seifuku no zekkyô,1966,Yôko Misaki,Nami Kudô,Kimiko Asuka,Setsu Shimizu,Giichi Nishihara,,,,1966-02,80,,Akira Nakahara
3858,4.1,tt2091423,Symphony in Blood Red,2010,Sharon Alessandri,Federico Amorosi,Nikol Brown,Federica Carpico,Luigi Pastore,Horror,,"Symphony in Blood Red is an Italian 'giallo', a horror film inspired by the work of Dario Argento. It...",2010-10-21,80,,Luigi Pastore
3869,5.2,tt1369694,Sepuluh,2009,Ari Wibowo,Rachel Maryam Sayidina,August Melasz,Keke Harun,Henry Riady,Drama,,,2009-02-05,153,,Doddy Soeriapoetra
3904,,tt2634320,The Regiment,,Tina Harris,Martin Gaisford,Jeff Bennett,Tim Smith,Jack Lindley,Drama,History,A Napoleonic war movie set in 1803 to 1806. Following a British general Earl William Cathcart and his struggle with the on going war. Fighting the French in Hanover.,,,,Jack Lindley
3914,,tt3123180,ProVanta,2013,Gib Gerard,John Tesh,,,Paul Greenberg,,,,2013,,,
3917,,tt2140139,Masquerade,2011,David Brainard,Raina Hein,Daniel Steven Lopez,Nick Marinoff,Nicholas Tolkien,Comedy,,Masquerade is a comedic mockumentary about two former child actors and their desperation to recapture the fame they once had...,,142,,David Brainard
3976,,tt1414569,Shivarathri Mahatme,1964,Leelavathi,Rajkumar,,,P.R. Kaundinya,,,,,,,
3980,6.6,tt2091331,La Mujer de Iván,2011,Marcelo Alonso,María de Los Ángeles García,Aldo Parodi,Jaime Lorca,Francisca Silva,Drama,,Ivan keeps a 15-year-old Natalia hostage since she was a little girl. The repressive regime seems not...,2013-12-12,,,
3983,,tt3066868,Le Cid Khmer,2005,Norodom Sihanouk,,,,Norodom Sihanouk,Drama,Romance,"The King assigns two tutors for the young Crown Prince and intrigues start flourishing at the Royal Court, naturally including duels over beautiful women.",2005,,,Norodom Sihanouk
4001,,tt1477174,Hôtel Racine,1967,Claire Nadeau,Olivier Nolin,Nicole Garcia,Guy Michel,Pierre Badel,,,,1967-08-11,,,Michèle Perrein
4007,,tt2150183,Blue Mesiah,2018,,,,,,Horror,,A sociopath has a meeting with the Devil in Jersusalem.,2018-05,,,
4009,,tt3320484,Nikkei keiki touronkai,2013,Masayuki Kichikawa,Koji Miyahara,Mitsuru Taniuchi,,,Talk-Show,,,2013-11-02,55,,
4018,,tt2137144,Nagbababang asero,1977,Fernando Poe Jr.,Tina Monasterio,Dencio Padilla,Paquito Diaz,Armando A. Herrera,,,,1977-01-07,,,Fred Navarro
4022,,tt3551750,All She Wants 2,2015,Laura Crapo,Fiona Highet,Regi Metcalf,,Laura Crapo,Comedy,Drama,"Best frienemies pick up where they left off ten years ago, battling for supremacy in life and the arts.",,75,,Laura Crapo
4039,7.8,tt1949610,Year of the Rat,2011,Ronald Campise,Tamara Frapasella,Johnny Gel,Niki Haze,Ronald Campise,Drama,,"Mahayana Buddhist, Native American Detective Steve Lomeli, with a news crew in tow, investigates the murder of a child by a local drug dealer...",,88,,Thomas Porter
4065,,tt2460480,Festa de Lançamento TVI Ficção,2012,Felipa Garnel,Fernanda Serrano,Laura Galvão,Luís Esparteiro,L. Salvador,Music,Talk-Show,,2012-10-15,,,Francisco Abelha
4069,4.5,tt1265108,Jian wang zi,1970,Chun Yang,Ching Ching Chang,Nan Chiang,Hsia Chiang,Joseph Kuo,Action,Adventure,,1970-01-09,95,,Tien-Yung Hsu
4087,4.3,tt1429024,Das Schweigen am Starnbergersee,1920,Oskar Bayrer,Ferdinand Bonn,Karl Guttenberger,Anton Herrmann,Rolf Raffé,Biography,,The fateful last days in the life of King Ludwig II of Bavaria.,1920,82,,
4091,,tt3492808,Qianli Yan,1927,Wang YouYou,Wu Meihong,Xu Zhuodai,,,,,,1927,,,
4093,,tt2067008,The Pirates of the Kabillion,2011,Andrew Pagana,Chris Schwartz,Jordan James Smith,,Orson Spielcock III,Family,,,2011-05-05,,,
4098,6.0,tt2927212,Dear Eleanor,2016,Liana Liberato,Isabelle Fuhrman,Josh Lucas,Luke Wilson,Kevin Connolly,Adventure,Comedy,"Two teenage girls travel across the U.S. in 1962, during the chaos of the Cuban missile crisis, in search of Eleanor Roosevelt.",,89,,Cecilia Contreras
4099,,tt1911546,Budda pawâzu,2003,,,,,,Action,,,2003,53,,
4175,,tt1887959,sLipPage,2011,Jon Farley,Emily Galash,Maryanne Glazebrook,Tom Graham,Bryan Hiltner,Sci-Fi,,"Sanders Spurlock thought he was sick with grief over the death of his mother, but he was wrong.",,120,,Bryan Hiltner
4179,,tt3513798,Guest,2000,Mohammad Reza Haghgoo,Ahmad Najafi,Mohammadreza Norouzi,Shahla Riahi,Hassan Hedayat,History,,,2000-08-08,160,,Fatemeh Ghazaei
4186,6.1,tt1327743,Lost River: Lincoln's Secret Weapon,2009,Tami Sutton,Fritz Klein,James Reeves,Joe Jones,Jason Urban,History,,"True story of Anna Ella Carroll, unrecognized heroine of the American Civil War who assisted Lincoln as an unofficial cabinet member; she later devised the Tennessee River Plan that brought an early end to the war.",2010-01-10,,,Bruce Bridegroom
4188,,tt3687204,Forbidden Fruit,,,,,,,Horror,,Two newlyweds -- born a world apart -- realize they've both been stalked their entire lives by the same demonic entity that now wants to claim the soul of their unborn child.,,,,Nicole Jones-Dion
4201,7.0,tt3517026,Go Home,2015,Golshifteh Farahani,Wissam Fares,Julia Kassar,Mireille Maalouf,Jihane Chouaib,Drama,,"Nada is going home. Or at least she wants to. When she comes back to Lebanon, she realizes she's a foreigner in her own country...",2016-12-07,98,,Jihane Chouaib
4202,7.9,tt2369196,Broken Glass,2013,Eric Charles Jorgenson,Cesar Garcia,Ken Lyle,Jess Allen,Daniel R. Chavez,Drama,Mystery,A dramatic thriller that revolves around a man who must sort through his mind's tricks in order to unlock the mystery of his past.,2013-05,96,Acceptance is the Key,Daniel R. Chavez
4224,7.8,tt1049946,All About Dad,2009,David Huynh,Yen Ly,Steve Cloyes,Nanrisa Lee,Mark Tran,Comedy,Drama,"Delightfully hilarious, yet mixed with great tenderness and humanism, All About Dad addresses the familiar theme of old world father vs. new world kids with deftness and originality.",,80,,Mark Tran
4228,,tt2128478,Kuntao,1976,Rey Malonzo,Marilou Esteban,Rex Lapid,Don Pepot,Ronaldo P. San Juan,,,,1976-09-03,,,Henry Cuino
4253,,tt3234494,W.I.S.H. Police,,,,,,Adrian Garcia,Animation,,A task force is called upon to capture all bad thoughts that materialize -- Wicked Ideas Suddenly Human (W.I.S.H.) and find themselves in a real bind when a young boy wishes his sister would disappear.,,,,Ethan Reiff
4269,6.3,tt2385041,Coyote,2014,Bill Oberst Jr.,Joe Hammerstone,Heather Schlitt,Victoria Mullen,Trevor Juenger,Comedy,Fantasy,An insomniac writer's sleep-deprived hallucinations distort reality as paranoia drives him to extreme violence.,2014-12-16,75,Sleep is the enemy.,Trevor Juenger
4277,5.4,tt1107909,Hokm-e tir,1979,Iraj Ghaderi,Negin,Manoochehr Vossoogh,Aram,Iraj Ghaderi,,,,,,,Saeed Motalebi
4290,4.5,tt2454904,Baseballove,2012,Daniel Chang,Riva Chang,John Chen,Yi-Fan Hsu,,Sport,,,2012-11-30,,,
4302,,tt1575718,Yue ye zhan,1980,Yun Ling,Kuan-Hsiung Wang,Yin Tze Pan,Hung Lieh Chen,Yu-Lung Hsu,Action,Adventure,,1980,89,,Lung Ku
4315,,tt1413594,Three Deaths and a Date,2007,Vincent Bagnall,Bern Cohen,Alena Milan,Sara Ann Parker,Dennis Cieri,Comedy,,A bereavement session brings together four reasonably neurotic souls unlikely to meet each other otherwise...,,74,,Dennis Cieri
4323,,tt3212440,There Really Is a Santa Claus,1989,Jack Perkins,Louis Gossett Jr.,Florence Henderson,Loretta Lynn,David Lowe,Family,,Celebrities offer memories of encounters with Santa Clause.,,,,
4354,4.8,tt1653670,Hostile Encounter,2010,Ace Marrero,Erin Stegeman,Marshall Yates,,Eric England,Adventure,Drama,"After losing his fiance, Trevor sets out on a soul searching adventure to clear his mind. While in the wilderness, he stumbles upon two local hunters that will stop at nothing to make him go away.",,73,,Eric England
4355,5.0,tt2198187,Elsk meg,2013,Ahmed Wasty,Julia Wildschut,,,Hanne Myren,Drama,,A look at how a young woman's unresolved issues with her father impacts her relationship.,2014-03-28,80,,Hanne Myren
4367,4.3,tt3130506,"Men, Money & Gold Diggers",2014,Patrice Fisher,Omar Gooding,Je'Caryous Johnson,Jill Marie Jones,Roger Melvin,Comedy,,"Caleb Peterson has it all-a great job, plenty of money, and a fine fiancée in former model Paisley Terrell...",,77,"A Gold Mine or a Gold Digger, which do you have?",Je'Caryous Johnson
4376,6.6,tt3321144,Uvanga,2013,Peter-Henry Arnatsiaq,Marianne Farley,Lukasi Forrest,Pakak Innuksuk,Marie-Hélène Cousineau,Drama,,"Anna is nervous when she and her son, Tomas, arrive in the small, close-knit community of Igloolik, in the Canadian Arctic.",,86,,Marie-Hélène Cousineau
4382,,tt2763112,USA Salutes Kids,1983,,,,,,Family,,,1983,,,
4411,5.6,tt1637642,Michael Jackson: Death of an Icon,2009,Christopher Martin,,,,,News,,,2009-06-26,,,
4417,,tt1620728,Dinosaur Bob,,,,,,,Animation,Family,A family adopts a friendly dinosaur as their pet.,,,,William Joyce
4421,,tt1354034,Mithileya Seetheyaru,1988,Vishnuvardhan,,,,Ravi,,,,,,,
4424,,tt3467254,Pastries,1975,Uschi Digard,Judy Angel,John Barnum,Wild Bill,,Adult,Comedy,"Pastries is a comedy-farce, coupled with explicit sexual experiences designed for erotic excitement and pleasure...",,62,,
4482,4.7,tt3674116,Ring Master,2014,Dileep,Keerthi Suresh,Ajaykumar,Mohan Jose,Raffi,Drama,Romance,Follows the relation between a canine film star and its trainer.,2014-04-17,155,,
4489,,tt1058052,Twenty Percent Fiction,,,,,,Barry Primus,Comedy,Drama,"Dissatisfied with his superficial life in Los Angeles, a respected acting coach finds love and self-fulfillment after moving to a small town and working with its quirky residents.",,,,Barry Primus
4496,6.6,tt2626216,The Bridge at the End of the World,2014,Aleksandar Bogdanovic,Nela Kocis,Slaven Knezovic,Vlatko Dulic,Branko Istvancic,Action,Drama,"When the Croatian War of Independence ended, Bosnian Croats whose villages had been destroyed in the fighting were forced to relocate...",2015-01-01,115,,Josip Mlakic
4537,,tt2089626,Basketball Stars,1974,Francis Arnaiz,Willie 'Bog' Adornado,Ramon Fernandez,Roger 'Bong' Melencio,Abraham Gregorio,,,,1974-09-01,,,Abraham Gregorio
4540,,tt2248819,Granaz,2009,Matin Heydarnia,Safa Malakdel,Ghorban Nadjafi,Danial Norvash,Abbas Rafei,Drama,Family,"On the way to school, Milad sees an old lady wandering around looking for her son. Her name is Granaz...",2009,90,,Gholam Reza Ramezani
4560,4.7,tt1392744,Chance Pe Dance,2010,Shahid Kapoor,Genelia D'Souza,Mohnish Bahl,Satish Shah,Ken Ghosh,Comedy,Drama,New love convinces a struggling actor and dancer to enter a talent competition that could make him a superstar.,2010-01-15,122,,Ken Ghosh
4562,,tt1230519,American Ninja Challenge 2,2008,Levi Meeuwenberg,Brian Orosco,Ruselis Aumeen Perry,Rick Seedman,,Reality-TV,,,2008-03-03,,,Shannon Hall
4574,,tt2388358,The Executive,,Kathy Garver,Lana Wood,Mitzi Kapture,Judy Tenuta,John Wesley Norton,Comedy,,,,,,John Wesley Norton
4577,6.5,tt2784678,Top Five,2014,Chris Rock,Rosario Dawson,Gabrielle Union,Kevin Hart,Chris Rock,Comedy,Romance,A comedian tries to make it as a serious actor when his reality-TV star fiancée talks him into broadcasting their wedding on her TV show.,2014-12-12,102,,Chris Rock
4635,,tt1774282,Alien Rock Band,,,,,,John Stevenson,Adventure,Comedy,A garage band journeys across the universe to qualify for a shot at superstardom in an Intergalactic Battle of the Bands.,,,,Athena Gam
4645,,tt2611668,The Man Who Came Back,1914,,,,,,Adventure,Drama,,1914-02,,,
4656,,tt2005204,Ek Ladki Badnaam Si,1974,Danny Denzongpa,Mahendra Sandhu,Rehana Sultan,,Desh Gautam,Romance,,,1974-07-26,,,
4661,6.4,tt2736032,She's Allergic to Cats,2016,Mike Pinkney,Sonja Kinski,Flula Borg,Felipe Esparza,Michael Reich,Comedy,Horror,A dog groomer in Hollywood aspires to be more than a dog groomer in Hollywood. Michael Pinkney is a...,2016-06-18,82,,Michael Reich
4670,,tt1279425,Djula djuli bintang tiga,1954,Tan Tjeng Bok,R.D. Endang,Chatir Harro,Suhaimi,S. Waldy,,,,1954,,,M. D'Amour
4676,7.8,tt2309932,Adrift: 47 Days with Sharks,2012,André Agius,Raymond Burns,Michael Koltes,Meghann Marty,Gareth Johnson,Drama,,"3 men are stranded adrift after surviving a fatal plane crash during WWll and must survive against sharks, dehydration, and famine for 47 days.",2012-08-14,43,,
4699,6.8,tt1435585,Shaashu Ghara Chaalijibi,2006,Suresh Bal,Akshaya Bastia,Debu Bose,Anu Choudhury,Basant Sahu,Comedy,Drama,,2006,,,Bijaya Mishra
4705,7.2,tt1829658,When Love Comes,2010,Yi-Chieh Lee,Meng-Chieh Kao,Hsueh-Feng Lu,Yu-Shun Lin,Tso-chi Chang,Drama,,"Laichun, her father and two mothers, uncle and grandfather are of different generations; thus they all think differently...",2010-10-29,108,,Tso-chi Chang
4744,,tt2027189,Paranormal Prediction,2011,Ella Eranthis,,,,Ella Eranthis,Horror,,,2011-02-12,,,
4745,,tt1629451,Gaiking,,,,,,,Action,,"When Earth is invaded by an alien army of horrors, a giant robot named Gaiking is constructed to defend the Earth.",,102,,Bragi F. Schut
4757,,tt2311544,Face Up,,Mirabel Stuart,Luke King,Billy James Machin,Ceri-Rose Larcombe,,Action,Drama,An ex gang member from East London is abandoned by the love of his life and finds himself back on the streets facing an angry community that never forgot.,,150,Love can't save you,
4762,,tt3105652,Los resucitados,1995,Angélica Revert,Tony Fuentes,Paul Naschy,Santiago Segura,Arturo De Bobadilla,Fantasy,,,1995,,,Gustavo Adolfo Bécquer
4766,,tt2806782,Pacer 3,2012,Archie Adamos,Tam Avenido,Ella Castillo,Geneva Cruz,Romy Suzara,Action,,,2012-07-20,,,Romy Suzara
4794,5.9,tt1605798,Effie Gray,2014,Dakota Fanning,Greg Wise,Tom Sturridge,Emma Thompson,Richard Laxton,Drama,,"A look at the scandalous love triangle between Victorian art critic John Ruskin, his teenage bride Effie Gray, and Pre-Raphaelite painter John Everett Millais.",2014-10-10,104,,Emma Thompson
4799,,tt1225842,Miguel Galván... Una estrella del canal de las estrellas,2008,Carlos Bonavides,César Bono,Mara Patricia Castañeda,Sergio Corona,,Biography,,,2008-04-27,60,,
4804,,tt2396521,Ievas paradizes darzs,1990,Rihards Rudaks,,,,Arvids Krievs,,,,1990,,,Arvids Krievs
4809,,tt1690460,Der Junge von St. Pauli,1971,Freddy Quinn,Maria Kloth,Lisette Meister,Bobby Burg,Alexander Arnz,Comedy,Music,,1971-01-10,115,,Franz W. Schilling
4810,5.1,tt1656634,The Winter of the Odd Ones Out,2010,Max Berliner,Fanny Cittadini,Lautaro Delgado,Elisa Gagliano,Rodrigo Guerrero,Drama,,A fiction based on the feelings and emotional states that a group of people experience in a small in-country town.,,112,,Rodrigo Guerrero
4827,,tt1479300,Mont-Cinère,1970,Eléonore Hirt,Orlane Paquin,Moune de Rivel,Victor Lanoux,Jean-Paul Roux,,,,1970-12-05,,,Julien Green
4841,,tt3183972,Monty Clift,2016,Matt Bomer,,,,,Biography,,"During production of A Place in the Sun, Montgomery Clift meets the woman who will become his closest confidant and best friend, Elizabeth Taylor.",2016,,,Christopher Lovick
4842,,tt1240472,Lahirnja gatotkatja,1960,Rusman,Titiek Danuwinoto,Bagong Kussudiardjo,Roosilawaty,D. Djajakusuma,,,,1960,,,
4871,6.8,tt2739678,Musiek vir die Agtergrond,2013,John-Henry Opperman,Lizelle de Klerk,Brümilda van Rensburg,Ian Roberts,Salmon de Jager,Drama,Music,"A young singer songwriter performs his music in small pubs, barely making ends meet, until a big time record executive gives him the opportunity of a lifetime. All he has to give up for fame and fortune is his name and integrity.",2013-10-04,124,,Salmon de Jager
4963,6.4,tt1045839,Evadithe Nakenti,2007,Dr. Rajashekar,Samvrutha Sunil,Mumait Khan,Raghuvaran,Jeevitha,Action,Crime,An army officer endangers his life and alienates himself from his family when he decides to fight corruption.,2007-02-09,,,Dr. Rajashekar
4965,5.6,tt3177316,Honeymoon,2014,Rose Leslie,Harry Treadaway,Ben Huber,Hanna Brown,Leigh Janiak,Horror,Mystery,A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.,2014-09-19,87,After the ceremony comes the ritual.,Leigh Janiak
5009,,tt2562678,Popular Girls,2012,Jaelyn Negron,Kailey Liddell,Carly Shukiar,Nefertiti Negron,Nefertiti Thomas,Drama,,,,,,Nefertiti Thomas
5036,,tt1437885,Breaking Symmetry,2001,Linda Amendola,Cecilia Johnson,Archer O'Reilly,Isabella Perricone,Keith Johnson,Sci-Fi,,"Set against the backdrop of science and sexual politics at a prominent Boston, Massachusetts Institute of Technology...",,93,,Keith Johnson
5058,9.2,tt1146296,Sporting Chance,1990,Bruce Boxleitner,Terri Garber,Noble Willingham,G.D. Spradlin,Lou Antonio,Drama,Sport,Failed series pilot about a former football player who finds himself at odds with the new team owner.,1990-06-21,,,Michael Gleason
5069,7.3,tt2089736,Make Your Mark: The Ultimate Dance Off - Shake It Up Edition,2011,Alyssa,Amir,Arielle,Casey,Bruce Gowers,Reality-TV,,,2011-10-14,90,,
5100,,tt1711527,Verbrecher!,2011,Maren Carle,Giovanni Maltese,Paolo Ralo,Peppe Sciandrone,Daniel Morawek,Comedy,Drama,A black comedy about the lives of twenty-somethings.,2011-03-23,59,Jeder hat seine Leiche im Keller. (Everyone has a body in the basement.),Daniel Morawek
5111,8.9,tt1893221,Destiny 101,2002,Joseph Neibich,David Gorgie,Dillon Morgan Silver,Anna Griffin,Anthony Fiore,Comedy,Romance,"A neurotic young man tries to get over his last girlfriend by dating again with the help of his alter-ego, Frank Sinatra.",,50,,Joseph Neibich
5112,,tt1556222,Shônen shikeishû,1955,Tôru Abe,Taizô Fukami,Bokuzen Hidari,Tatsuya Ishiguro,Ren Yoshimura,,,,1955-07-03,,,Yasutarô Yagi
5189,,tt2278880,Acrobat,2011,Fabrice Champion,,,,Olivier Meyrou,,,Fabrice Champion was an accomplished trapeze artist when a circus accident paralyzed him from the neck down. But he is determined to return to the big top.,2011-07,52,,
5205,,tt2929932,Ratted Out,2016,Vas Blackwood,Michael Starke,Guillaume Delaunay,Robert Toretto,Elizabeth Arends,Crime,Drama,"Shane is a getaway driver. Running a big hit on a Liverpool bank, rather than split the cash with the mob...",2016,90,Is there no honour among thieves?,Alexander Hamilton
5206,3.4,tt1666166,Kappalu Muthalali,2009,Ramesh Pisharody,Sarayu,Kaviyoor Ponnamma,Mala Aravindan,Thaha,Comedy,Drama,,,136,,Thaha
5254,6.5,tt3354222,As the Gods Will,2014,Ryûnosuke Kamiki,Shôta Sometani,Lily Franky,Sôta Fukushi,Takashi Miike,Horror,Sci-Fi,"A group of high school students are forced to play a game of death without knowing who, why or how.",2014-11-15,117,Daruma doll did it.,Muneyuki Kaneshiro
5263,5.5,tt1309368,Auftrag in Afrika,2010,Walter Sittler,Katharina Abt,Max Herbrechter,Rolf Kanies,Sigi Rothemund,Drama,,,2010-05-31,,,Daniel Maximilian
5320,,tt3201310,Premios Shock,2007,Rosemary Bohórquez,Adriana Botina,Simon Brand,Silvestre Dangond,Juan Esteban Sampedro,Musical,,,2007-10-11,90,,
5325,7.0,tt1056089,Koishikute,2007,Shoto Aizato,Hideaki Gibo,Hoshi Ishida,Genji Kuniyoshi,Yuji Nakae,Drama,,,2007-04-14,99,,Begin
5354,5.5,tt2165859,In Fear,2013,Iain De Caestecker,Alice Englert,Allen Leech,,Jeremy Lovering,Horror,Mystery,"Driving to a music festival in Ireland, a new couple become lost and are then set upon by a tormentor with an unknown motive.",2013-11-15,85,,Jeremy Lovering
5355,,tt2981398,Batô no zeni: Ôgon rambu no maki,1931,Eigorô Onoe,Kazuo Hasegawa,Sakuko Yanagi,Kichimatsu Nakamura,Kintarô Inoue,,,,1931-07-31,,,Shin Hasegawa
5364,7.4,tt1139109,Katerina 72,1972,Cemil Can Biçakçi,Perihan Savas,Ali Sen,Sener Sen,Yücel Uçanoglu,Adventure,,,1972,,,Yücel Uçanoglu
5379,,tt1427898,Kumander Anting-Anting,1987,Redford White,Melissa Mendez,Boy Alano,Tony Santos Jr.,Charlie Ordoñez,Action,Comedy,,1987,,,Bert Dueñas Jr.
5436,6.2,tt2870808,Life Partners,2014,Leighton Meester,Gillian Jacobs,Adam Brody,Gabourey Sidibe,Susanna Fogel,Comedy,Romance,Sasha and Paige's co-dependent friendship is tested as Paige gets serious with a guy for the first time.,2014-12-05,93,One guy can ruin the perfect relationship.,Joni Lefkowitz
5470,7.3,tt3253930,Marshland,2014,Javier Gutiérrez,Raúl Arévalo,María Varod,Perico Cervantes,Alberto Rodríguez,Crime,Thriller,In the MARSHLAND a serial killer is on the loose. Two homicide detectives who appear to be poles apart must settle their differences and bring the murderer to justice before more young women lose their lives.,2014-09-26,105,,Rafael Cobos
5471,6.0,tt3511164,The Night,2014,Hao Zhou,Xiao Xiao Liu,Jin Kang Li,Feng Qi Zhou,,Drama,,Lives of male and female prostitutes in China.,,95,,Hao Zhou
5472,5.3,tt1232001,Gaping Abyss,2008,Liane Forestieri,Marco Girnth,Michael Lott,Ercan Durmaz,Sebastian Vigg,Action,Thriller,A series of strange accidents plaguing a city located near the mine. Two people were pulled through the funnel...,2008-06-02,90,,Roland Heep
5483,6.3,tt1712261,Triple 9,2016,Casey Affleck,Chiwetel Ejiofor,Anthony Mackie,Aaron Paul,John Hillcoat,Action,Crime,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,2016-02-26,115,The code on the street is never black and white,Matt Cook
5493,,tt1483349,Cold Warriors,,,,,,,Thriller,,Knowledge is power - and a deadly threat for those who know too much at the wrong time and at the wrong place.,,120,,Daniel Benton
5511,,tt2390224,Mirzi,1914,Emanuel Gregers,Valdemar Møller,Emilie Sannom,Ragnhild Sannom,,Drama,,,1914-01-17,,,Palle Rosenkrantz
5522,,tt2378161,Des Kaisers treue Jakobiner,1979,Helga Illich,Waltraud Kutschera,Rosemarie Müller,Gerty Reith,Conny Hannes Meyer,History,,,1979-06-21,,,Conny Hannes Meyer
5533,6.1,tt1307057,Coming Soon,2008,Vorakarn Rojjanavatchra,Chantavit Dhanasevi,Sarinrat Thomas,Thanatorn Oudsahakul,Sophon Sakdaphisit,Horror,Thriller,What kind of scenes in a horror film scares you the most? When a ghost appears totally unexpectedly...,2008-10-30,95,,Sophon Sakdaphisit
5539,6.5,tt1473799,Margot,2009,Anne-Marie Duff,Penelope Wilton,Con O'Neill,Lindsay Duncan,Otto Bathurst,Biography,Drama,At the age of forty Dame Margot Fonteyn is considered to be past her best as a prima ballerina and Ninette...,2009-11-30,,,Amanda Coe
5545,,tt3421424,Danchizuma: New Town Kinryô-ku,1984,Mariko Nishina,Kazuyo Ezaki,Makoto Yoshino,Shin'ichirô Imaizumi,Shôgorô Nishimura,,,,1984-07-27,71,,Takuya Nishioka
5562,,tt2069822,"Kay lupit mo, pag-ibig",1973,Victor Wood,Pepito Rodriguez,Rhodora Silva,Aurora Salve,Lito Teodoro,,,,1973-05-06,,,Humilde 'Meek' Roxas
5564,,tt2034061,Nasuna koi,1923,Tsuzuya Moroguchi,Tamaki Hanakawa,Sumiko Kurishima,Sakiko Yonetsu,Hôtei Nomura,,,,1923-04-01,,,Daisuke Itô
5565,,tt2414250,Eleven,2008,Amy Eakins Casterline,Wanda Huttner,William J. Mode,Kelly Shipe,William Mode,Thriller,,,,,,John M. Stewart
5654,,tt1844717,Le perroquet vert,1929,Édith Jéhanne,Max Maxudian,Jeanne Bérangère,Pierre Batcheff,Jean Milva,,,,1929-03-08,,,Jacques de Casembroot
5659,,tt3447570,"Terra Lliure, punt final",2007,,,,,David Bassa,History,,,2007,,,David Bassa
5660,6.8,tt1956534,A Trip,2011,Luka Cimpric,Jure Henigman,Nina Rakovec,,Nejc Gazvoda,Drama,,"Three friends embark on a road trip like in high school, but things have changed - Gregor is going to war mission, Ziva is going to study abroad, while Andrej is still the same. There are secrets left unsaid. Can their friendship survive?",2012-01-19,85,,Nejc Gazvoda
5661,6.0,tt1560979,Sakurada Gate Incident,2010,Takao Ohsawa,Kyoko Hasegawa,Minosuke Bandô,Akira Emoto,Jun'ya Satô,History,,The Sakurada Gate Incident recounts the story of Mito Domain Samurai coming off house arrest named Seki Tetsunosuke (played by Osawa Takao)...,2010-10-16,137,,Akira Yoshimura
5663,5.2,tt1307897,Turn the Beat Around,2010,Romina D'Ugo,David Giuntoli,Adam Brooks,Brooklyn Sudano,Bradley Walsh,Comedy,Drama,A struggling dancer in L.A. teams up with a young club impresario to bring back Disco.,2010-02-26,89,,Jessica Sharzer
5680,5.2,tt1826774,Nauta,2010,Massimo Andrei,David Coco,Elena Di Cioccio,Giovanni Esposito,Guido Pappadà,Comedy,,,2010-10-27,,,Guido Pappadà
5681,6.5,tt1411973,They All Lie,2009,Romina Paula,María Villar,Julia Martínez Rubio,Pilar Gamboa,Matías Piñeiro,Drama,,,,75,,Matías Piñeiro
5683,,tt1379175,Coiffure pour dames,1992,Marthe Villalonga,Françoise Christophe,Claire Maurier,Arielle Sémenoff,Michel Treguer,Drama,,,1992-07-29,100,,Robert Harling
5693,,tt1864543,The Sharp End: Witnesses of Vietnam,1992,,,,,Greg Swanborough,History,,The Sharp End takes the Australian perspective of what it was like to be in Vietnam during the war....,,56,,Greg Swanborough
5702,,tt2092407,Amor,1974,Gloria Diaz,Vic Vargas,Ray Marcos,Elizabeth Oropesa,Armando Garces,Drama,,,1974-12-21,,,Armando Garces
5708,,tt1066402,Anayama kôsuke,1916,Matsunosuke Onoe,Suminojo Ichikawa,Kitsuraku Arashi,Kijaku Ôtani,,,,,1916-12-31,,,
